id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2539,clean & quiet apt home by the park,2787,john,Brooklyn,Kensington,40.64749,-73.97237,Private room,149,1,9,2018-10-19,0,6,365
2595,skylit midtown castle,2845,jennifer,Manhattan,Midtown,40.75362,-73.98377,Entire home/apt,225,1,45,2019-05-21,0,2,355
3647,the village of harlemnew york,4632,elisabeth,Manhattan,Harlem,40.80902,-73.9419,Private room,150,3,0,,0,1,365
3831,cozy entire floor of brownstone,4869,lisaroxanne,Brooklyn,Clinton Hill,40.68514,-73.95976,Entire home/apt,89,1,270,2019-07-05,4,1,194
5022,entire apt spacious studioloft by central park,7192,laura,Manhattan,East Harlem,40.79851,-73.94399,Entire home/apt,80,10,9,2018-11-19,0,1,0
5099,large cozy 1 br apartment in midtown east,7322,chris,Manhattan,Murray Hill,40.74767,-73.975,Entire home/apt,200,3,74,2019-06-22,0,1,129
5121,blissartsspace,7356,garon,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,Private room,60,45,49,2017-10-05,0,1,0
5178,large furnished room near bway,8967,shunichi,Manhattan,Hell's Kitchen,40.76489,-73.98493,Private room,79,2,430,2019-06-24,3,1,220
5203,cozy clean guest room  family apt,7490,maryellen,Manhattan,Upper West Side,40.80178,-73.96723,Private room,79,2,118,2017-07-21,0,1,0
5238,cute & cozy lower east side 1 bdrm,7549,ben,Manhattan,Chinatown,40.71344,-73.99037,Entire home/apt,150,1,160,2019-06-09,1,4,188
5295,beautiful 1br on upper west side,7702,lena,Manhattan,Upper West Side,40.80316,-73.96545,Entire home/apt,135,5,53,2019-06-22,0,1,6
5441,central manhattannear broadway,7989,kate,Manhattan,Hell's Kitchen,40.76076,-73.98867,Private room,85,2,188,2019-06-23,1,1,39
5803,lovely room 1 garden best area legal rental,9744,laurie,Brooklyn,South Slope,40.66829,-73.98779,Private room,89,4,167,2019-06-24,1,3,314
6021,wonderful guest bedroom in manhattan for singles,11528,claudio,Manhattan,Upper West Side,40.79826,-73.96113,Private room,85,2,113,2019-07-05,0,1,333
6090,west village nest  superhost,11975,alina,Manhattan,West Village,40.7353,-74.00525,Entire home/apt,120,90,27,2018-10-31,0,1,0
6848,only 2 stops to manhattan studio,15991,allen & irina,Brooklyn,Williamsburg,40.70837,-73.95352,Entire home/apt,140,2,148,2019-06-29,1,1,46
7097,perfect for your parents  garden,17571,jane,Brooklyn,Fort Greene,40.69169,-73.97185,Entire home/apt,215,2,198,2019-06-28,1,1,321
7322,chelsea perfect,18946,doti,Manhattan,Chelsea,40.74192,-73.99501,Private room,140,1,260,2019-07-01,2,1,12
7726,hip historic brownstone apartment with backyard,20950,adam and charity,Brooklyn,Crown Heights,40.67592,-73.94694,Entire home/apt,99,3,53,2019-06-22,4,1,21
7750,huge 2 br upper east  cental park,17985,sing,Manhattan,East Harlem,40.79685,-73.94872,Entire home/apt,190,7,0,,0,2,249
7801,sweet and spacious brooklyn loft,21207,chaya,Brooklyn,Williamsburg,40.71842,-73.95718,Entire home/apt,299,3,9,2011-12-28,0,1,0
8024,cbg ctybgd helpshaiti rm114,22486,lisel,Brooklyn,Park Slope,40.68069,-73.97706,Private room,130,2,130,2019-07-01,1,6,347
8025,cbg helps haiti room25,22486,lisel,Brooklyn,Park Slope,40.67989,-73.97798,Private room,80,1,39,2019-01-01,0,6,364
8110,cbg helps haiti rm 2,22486,lisel,Brooklyn,Park Slope,40.68001,-73.97865,Private room,110,2,71,2019-07-02,0,6,304
8490,maison des sirenes1bohemian apartment,25183,nathalie,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Entire home/apt,120,2,88,2019-06-19,0,2,233
